,path,label,cnn_vectors,pca_vectors,features_array
0,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_54_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.20628452e+00, 9.45406151e-04, 0.00000000e+00, ...,
       0.00000000e+00, 2.88795698e-02, 6.24318719e-02])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-16.9510594 ,  -4.37744568, -11.17076121, -10.67992152,
         3.94030871,   2.05350176,   2.61175983,  -4.56464605,
        -1.58211775,  -6.06296693,   1.6166185 ,   0.09963412,
         4.15046728,  -2.61330679,  -3.53611154,   3.45492635,
         0.64527897,   1.8344986 ,  -2.43693364,  -1.11580712])}","[-16.95106     -4.3774457  -11.170761   -10.679921     3.9403088
   2.0535018    2.61176     -4.5646462   -1.5821178   -6.062967
   1.6166185    0.09963412   4.1504674   -2.6133068   -3.5361116
   3.4549263    0.645279     1.8344986   -2.4369335   -1.1158072 ]"
1,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_321_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.28114322, 0.        , 0.01523132, ..., 0.        , 0.00289355,
       0.16893698])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-17.01103524, -13.81775528, -10.52004008,   2.28017869,
         0.57794378,   6.10785228,   3.78148449,  -5.88009761,
        -2.24914961,  -4.65893522,   2.63299562,   1.60143081,
         4.69445294,  -4.55679206,  -4.60268983,   0.25943686,
         1.01064557,  -0.10131331,  -1.40552655,  -1.48931961])}","[-17.011036   -13.817756   -10.5200405    2.2801788    0.5779438
   6.1078525    3.7814846   -5.8800974   -2.2491496   -4.658935
   2.6329956    1.6014308    4.694453    -4.5567923   -4.6026897
   0.25943685   1.0106456   -0.10131331  -1.4055265   -1.4893196 ]"
2,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_70_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.36894366, 0.00204005, 0.13478272, ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-15.20487124,   0.99675464,  -8.86797346,  -0.43005749,
         0.62283883,  -1.75387586,   2.69951466,  -2.19825954,
        -2.95831017,  -1.34125148,   4.39935471,   1.1317069 ,
         3.17107535,  -5.4506484 ,  -3.74459674,   4.23263558,
         2.93046185,   0.36256246,  -2.45782216,  -0.13915474])}","[-15.204871     0.99675465  -8.867973    -0.4300575    0.62283885
  -1.7538759    2.6995146   -2.1982596   -2.9583101   -1.3412515
   4.399355     1.131707     3.1710753   -5.4506483   -3.7445967
   4.2326355    2.930462     0.36256245  -2.457822    -0.13915475]"
3,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_95_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.65950632, 0.        , 0.12816602, ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-15.12253046,   2.56447044,  -9.90720934,  -1.56382055,
        -1.8433645 ,   3.11287051,   5.96449156,  -3.49283958,
        -0.68470648,  -3.0613488 ,   3.4007382 ,   0.92949984,
         5.00151142,  -4.29887852,  -3.12209206,   4.20932412,
         3.24833695,   1.69230401,  -1.26478131,  -0.31467833])}","[-15.122531     2.5644705   -9.907209    -1.5638206   -1.8433645
   3.1128705    5.9644914   -3.4928396   -0.6847065   -3.061349
   3.4007382    0.92949986   5.0015116   -4.2988787   -3.122092
   4.209324     3.248337     1.692304    -1.2647814   -0.31467834]"
4,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/99_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.64518535, 0.        , 0.00175328, ..., 0.        , 0.38625196,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([ -1.75471721,  -2.35066649, -12.35520205,  -4.48464789,
        -1.48766547,   1.9549632 ,   0.80492216,  -0.44534595,
        -2.46691337,  -4.46481766,   3.32321405,   0.55899382,
         2.70875381,  -4.84649427,  -4.04579367,   2.71065835,
         1.31012836,   1.19320429,  -2.76309568,  -1.11745366])}","[ -1.7547172   -2.3506665  -12.355202    -4.4846478   -1.4876654
   1.9549632    0.80492216  -0.44534597  -2.4669135   -4.4648175
   3.323214     0.5589938    2.7087538   -4.846494    -4.0457935
   2.7106583    1.3101283    1.1932043   -2.7630956   -1.1174537 ]"
5,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/50_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.07532299, 0.        , 0.11887874, ..., 0.        , 0.18823813,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-2.60132533, -3.70763554, -4.43550606, -3.5784479 ,  1.35852267,
        2.45723038,  2.09997812, -3.64016689, -1.01993913, -0.87982713,
        3.29462346,  0.63069925,  5.20840824, -3.09691989, -3.5942051 ,
        3.42613586,  1.08315167,  1.03858715, -3.09068332,  0.47397074])}","[-2.6013253  -3.7076356  -4.435506   -3.5784478   1.3585227   2.4572303
  2.0999782  -3.640167   -1.0199392  -0.87982714  3.2946234   0.6306993
  5.2084084  -3.09692    -3.5942051   3.4261358   1.0831517   1.0385871
 -3.0906832   0.47397074]"
6,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/48_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.90030116, 0.        , 0.32764462, ..., 0.        , 0.17769229,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-1.85163505, -3.300754  , -5.37634669, -4.1236094 ,  1.54449045,
        1.53963835,  2.27984344, -3.15554477, -2.74149723, -2.16783912,
        2.94802077,  0.52753829,  3.66901704, -3.77766436, -3.06931004,
        3.8702902 ,  0.36819144,  2.00360431, -2.53965256,  0.07056705])}","[-1.8516351  -3.300754   -5.3763466  -4.1236095   1.5444905   1.5396384
  2.2798433  -3.1555448  -2.7414973  -2.167839    2.9480207   0.5275383
  3.669017   -3.7776644  -3.06931     3.8702903   0.36819145  2.0036044
 -2.5396526   0.07056705]"
7,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_55_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.54717314, 0.        , 0.        , ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-15.8404785 ,  -3.46755688,  -9.75139838,  -8.40967963,
         2.2635874 ,   0.3266251 ,   1.40156179,  -4.77732791,
        -1.84965135,  -4.78327072,   1.94819925,   0.58184451,
         2.81521102,  -2.74180869,  -2.0736112 ,   4.46006218,
         2.5055183 ,   0.33383719,  -0.0713399 ,  -0.92163611])}","[-15.840479    -3.467557    -9.751398    -8.409679     2.2635875
   0.3266251    1.4015617   -4.777328    -1.8496513   -4.783271
   1.9481993    0.5818445    2.815211    -2.7418087   -2.0736113
   4.460062     2.5055182    0.33383718  -0.0713399   -0.9216361 ]"
8,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_37_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.18279819, 0.        , 0.50018281, ..., 0.        , 0.02632832,
       0.25359061])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-16.33967513,  -9.76749668,  -8.75004474,  -5.55285455,
         0.52457039,   0.86319024,   5.05528349,  -3.54490431,
        -2.64332089,  -1.48923202,   5.44594507,   2.30207006,
         3.67108159,  -2.11654934,  -4.53116985,   3.8838488 ,
         2.30761554,   1.03905614,  -3.16427161,  -1.96383582])}","[-16.339676    -9.767497    -8.750045    -5.5528545    0.5245704
   0.86319023   5.0552835   -3.5449042   -2.6433208   -1.4892321
   5.4459453    2.3020701    3.6710815   -2.1165493   -4.53117
   3.883849     2.3076155    1.0390562   -3.1642716   -1.9638358 ]"
9,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_91_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.73426974, 0.        , 0.0824228 , ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-13.97046255,   2.78875786,  -7.68425465,  -2.1286763 ,
        -3.1792716 ,   2.16289398,   6.02549972,  -4.67458962,
         0.02323875,  -3.09722123,   2.71716166,   0.91717197,
         1.45200149,  -3.23064011,  -4.06825828,   4.53668566,
         0.72046107,   1.22023517,  -2.49402457,  -1.24023335])}","[-13.970463     2.7887578   -7.6842546   -2.1286764   -3.1792717
   2.162894     6.0255      -4.6745896    0.02323875  -3.0972211
   2.7171617    0.91717196   1.4520015   -3.2306402   -4.0682583
   4.5366855    0.7204611    1.2202351   -2.4940245   -1.2402333 ]"
10,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/55_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.45178393, 0.        , 0.07259879, ..., 0.        , 0.07958968,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-1.31687196, -3.68396345, -3.56214392, -4.07585392,  3.0504946 ,
        3.77580013,  1.95806026, -2.9895957 , -0.81610465, -3.80794152,
        3.80691395,  0.5854285 ,  3.80219148, -5.70214725, -4.70682033,
        3.75087581,  3.13143115,  1.53952016, -2.63944302, -1.3768642 ])}","[-1.316872   -3.6839635  -3.5621438  -4.075854    3.0504947   3.7758002
  1.9580603  -2.9895957  -0.81610465 -3.8079414   3.8069139   0.5854285
  3.8021915  -5.7021475  -4.7068205   3.7508757   3.131431    1.5395201
 -2.639443   -1.3768642 ]"
11,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/7_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.52296126, 0.        , 0.07235252, ..., 0.        , 0.12458614,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-2.22466259, -3.19166672, -9.01378977, -1.94345117,  5.46776787,
        1.34001784,  8.94780992, -1.41112148, -4.18682809, -4.34759101,
        3.49962113,  0.91261769,  2.21639737, -2.70936144, -3.74612162,
        3.48674291,  2.11840315,  0.85592909, -1.95933649,  0.27437083])}","[-2.2246625  -3.1916666  -9.01379    -1.9434512   5.4677677   1.3400178
  8.94781    -1.4111215  -4.186828   -4.347591    3.4996212   0.9126177
  2.2163973  -2.7093616  -3.7461216   3.486743    2.1184032   0.8559291
 -1.9593365   0.27437082]"
12,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_52_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.95186824, 0.01021711, 0.03365912, ..., 0.        , 0.07168776,
       0.37216184])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-17.65394541,  -6.62537644, -10.98674626, -10.71051282,
         3.61480532,   1.69298638,   2.73279384,  -2.89418134,
        -1.11883401,  -4.23010597,   3.58160764,   0.5096403 ,
         3.35330644,  -4.13496996,  -2.50223457,   3.24622164,
        -0.18171736,   2.22193207,  -1.98711818,   0.3766317 ])}","[-17.653946    -6.625376   -10.986746   -10.710513     3.6148052
   1.6929864    2.7327938   -2.8941813   -1.118834    -4.230106
   3.5816076    0.5096403    3.3533065   -4.13497     -2.5022345
   3.2462215   -0.18171735   2.2219322   -1.9871181    0.3766317 ]"
13,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_34_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.12378773, 0.        , 0.39212722, ..., 0.        , 0.06294508,
       0.03853805])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-15.83271082,  -9.98885323,  -9.25393435,  -6.12838834,
        -1.03433004,   2.44762177,   4.14690349,  -3.88890486,
        -2.34930262,  -1.5971818 ,   4.47001305,   4.24087682,
         3.94083709,  -3.24908931,  -4.73216359,   3.22893431,
         1.09381771,   3.92186864,  -1.28378955,  -1.60605442])}","[-15.832711   -9.988853   -9.253934   -6.1283884  -1.03433     2.4476218
   4.1469035  -3.8889048  -2.3493025  -1.5971818   4.470013    4.2408767
   3.9408371  -3.2490892  -4.7321634   3.2289343   1.0938177   3.9218686
  -1.2837895  -1.6060544]"
14,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_88_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.55209827, 0.        , 0.21222031, ..., 0.        , 0.02674831,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-15.71244377,   3.51747371,  -8.85385384,  -2.98941374,
        -0.97623156,   4.04990558,   4.38174293,  -3.38413747,
        -1.76063333,  -3.81716849,   3.35316655,  -0.32764302,
         3.10921302,  -3.76193323,  -4.69952826,   3.2403692 ,
         1.27852473,   3.10034714,  -2.07742486,  -0.51261915])}","[-15.712443     3.5174737   -8.853854    -2.9894137   -0.9762316
   4.049906     4.381743    -3.3841374   -1.7606333   -3.8171685
   3.3531666   -0.327643     3.109213    -3.7619333   -4.699528
   3.240369     1.2785248    3.100347    -2.0774248   -0.51261914]"
15,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/71_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.52955568, 0.        , 0.        , ..., 0.        , 0.13026188,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([ -1.45217928,  -3.65794591, -13.4004785 ,  -4.02452145,
         1.18919294,   0.87876842,   5.54325834,  -5.95241243,
        -2.42082872,  -1.73143993,   4.72262679,   0.78453268,
         2.33407296,  -2.19193598,  -2.74510073,   3.35805657,
         1.83884232,   2.16321666,  -1.15148889,  -0.58033987])}","[ -1.4521793   -3.6579459  -13.400478    -4.0245214    1.1891929
   0.87876844   5.543258    -5.9524126   -2.4208288   -1.73144
   4.7226267    0.78453267   2.334073    -2.191936    -2.7451007
   3.3580565    1.8388423    2.1632166   -1.1514889   -0.58033985]"
16,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/6_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.37964615, 0.        , 0.26109934, ..., 0.        , 0.06259121,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-2.87019708, -2.63006743, -7.63609876, -3.11074641,  6.05989003,
        2.66092126,  7.54911741, -0.78821078, -3.76650315, -4.09704588,
        4.39115142,  1.09902216,  2.57421933, -3.30482264, -5.0471273 ,
        3.26775018,  2.21085465,  1.46791396, -2.45886812, -0.33736024])}","[-2.870197   -2.6300673  -7.636099   -3.1107464   6.05989     2.6609213
  7.5491176  -0.7882108  -3.766503   -4.097046    4.3911514   1.0990222
  2.5742192  -3.3048227  -5.0471272   3.2677503   2.2108548   1.467914
 -2.458868   -0.33736023]"
17,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_4_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.35587287, 0.        , 0.21095954, ..., 0.        , 0.00269275,
       0.00876366])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-16.4028336 , -11.80529696, -11.44428093,   4.92040043,
         3.70364535,   1.40896086,   3.62373593,  -1.21164882,
         2.18751937,  -2.4896711 ,   4.50084846,   1.03918851,
         4.26034628,  -4.35318339,  -2.73262419,   5.08709573,
         0.66774987,   2.47502624,  -2.76326545,  -0.81453432])}","[-16.402834  -11.805297  -11.444281    4.9204006   3.7036452   1.4089608
   3.623736   -1.2116488   2.1875193  -2.489671    4.5008483   1.0391885
   4.2603464  -4.3531833  -2.7326243   5.0870957   0.6677499   2.4750261
  -2.7632654  -0.8145343]"
18,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_71_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.19016421, 0.00715687, 0.26243085, ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-1.61163794e+01,  2.54008626e+00, -9.58892796e+00,  1.19156903e-03,
        2.91554759e+00, -1.50389804e+00,  3.89896460e+00, -2.71702168e+00,
       -2.94729010e+00, -6.87169172e-01,  4.62943453e+00,  1.54794507e+00,
        2.36228979e+00, -4.63160887e+00, -3.84702013e+00,  2.53777124e+00,
        2.78354755e+00,  7.79253712e-01, -3.35830163e+00, -6.90256602e-01])}","[-1.6116379e+01  2.5400863e+00 -9.5889282e+00  1.1915690e-03
  2.9155476e+00 -1.5038980e+00  3.8989646e+00 -2.7170217e+00
 -2.9472902e+00 -6.8716919e-01  4.6294346e+00  1.5479450e+00
  2.3622899e+00 -4.6316090e+00 -3.8470201e+00  2.5377712e+00
  2.7835476e+00  7.7925372e-01 -3.3583016e+00 -6.9025660e-01]"
19,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_76_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.84647107, 0.02203167, 0.28754747, ..., 0.        , 0.        ,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-17.06502096,   2.49593665, -10.84502515,  -2.95312724,
         1.00481877,   3.24000938,   3.48659733,  -2.31645493,
        -4.45533314,  -3.21747681,   5.35316831,  -0.40009154,
         5.81839666,  -4.43488979,  -1.30512338,   3.54305471,
         1.95200421,   2.0351775 ,  -2.256317  ,  -1.48827333])}","[-17.065022     2.4959366  -10.845025    -2.9531271    1.0048188
   3.2400093    3.4865973   -2.316455    -4.455333    -3.2174768
   5.3531685   -0.40009153   5.8183966   -4.43489     -1.3051233
   3.5430548    1.9520042    2.0351775   -2.256317    -1.4882734 ]"
20,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/89_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([1.27636683, 0.        , 0.17747255, ..., 0.        , 0.30985287,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([ -4.50081512,  -2.22210271, -15.74171966,  -4.44596354,
         0.34505944,   2.6778155 ,   1.50329643,  -0.82838426,
        -1.93943501,  -4.62917289,   4.54931224,   0.58406694,
         4.33938757,  -2.67922536,  -4.10452909,   2.02359063,
         2.1597593 ,   1.92435467,  -2.2619691 ,  -0.84908046])}","[ -4.500815    -2.2221026  -15.741719    -4.4459634    0.34505945
   2.6778154    1.5032964   -0.8283843   -1.939435    -4.629173
   4.549312     0.5840669    4.3393874   -2.6792254   -4.104529
   2.0235906    2.1597593    1.9243547   -2.261969    -0.84908044]"
21,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/73_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.83359683, 0.        , 0.01485248, ..., 0.        , 0.18599083,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([ -2.41954502,  -4.39034843, -13.76789541,  -3.90156877,
         1.82111562,   1.72126745,   5.41988448,  -5.22063991,
        -2.57242422,  -3.04787433,   3.38221441,  -0.59833829,
         2.4385707 ,  -5.7880264 ,  -3.67040189,   3.55607422,
         1.12098625,   2.57145433,  -1.621786  ,  -1.8758475 ])}","[ -2.419545   -4.3903484 -13.767896   -3.901569    1.8211156   1.7212675
   5.4198847  -5.2206397  -2.5724242  -3.0478742   3.3822143  -0.5983383
   2.4385707  -5.7880263  -3.6704018   3.5560741   1.1209862   2.5714543
  -1.621786   -1.8758475]"
22,file:/media/LHadjemi/Data/deployer-un-modele-dans-le-cloud/data/test/Avocado/r_58_100.jpg,Avocado,"{'type': 1, 'size': None, 'indices': None, 'values': array([0.40922242, 0.        , 0.01603883, ..., 0.        , 0.00373194,
       0.        ])}","{'type': 1, 'size': None, 'indices': None, 'values': array([-16.12188766,  -2.52788468, -10.77881288,  -6.65267688,
         3.68086406,   1.91162521,   1.09530343,  -5.46993398,
        -1.26725399,  -3.58759204,   3.88841003,   1.17589785,
         1.97287241,  -2.95208934,  -6.16496629,   3.25063423,
         2.40855099,   2.69625241,  -1.08290067,  -0.30983987])}","[-16.121887    -2.5278847  -10.778812    -6.652677     3.680864
   1.9116253    1.0953034   -5.469934    -1.267254    -3.5875921
   3.88841      1.1758978    1.9728724   -2.9520893   -6.164966
   3.2506342    2.408551     2.6962523   -1.0829006   -0.30983987]"
